id,name,summary,listing_url,picture_url,host_id,neighbourhood,street,zipcode,latitude,longitude,room_type,amenities,price,extra_people,minimum_nights,calculated_host_listings_count,availability_365
247140,Self Contained Apartment (CBD Edge),No summary,https://www.airbnb.com/rooms/247140,https://a0.muscache.com/im/pictures/12141080/de37b688_original.jpg?aki_policy=large,1296115,Melbourne,"Melbourne, Victoria, Australia",3002,-37.817,144.9767,Entire home/apt,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Buzzer/wireless intercom"",Heating,""Suitable for events"",Washer,Dryer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Full kitchen""}",225,$100.00 ,3,1,328
248235,HUGE newly renovated home with pool,"Newly renovated stylish house.  5 bedrooms.  Amazing open plan entertaining space.  Wifi, Netflix, Sonos music all included.  Garden with trampoline  Large pool  Barbecue area Parents retreat with luxurious bathroom and bath overlooking green luscious garden  Kids playroom Bikes  Laundry Central heating and air conditioner",https://www.airbnb.com/rooms/248235,https://a0.muscache.com/im/pictures/4b25cfa1-807d-476f-9c8c-da05f1c3edde.jpg?aki_policy=large,1300846,Glen Eira,"Caulfield North, Victoria, Australia",3161,-37.86392,145.01737,Entire home/apt,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Free street parking"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",Bathtub,""Children’s books and toys"",""Babysitter recommendations"",""Room-darkening shades"",""Children’s dinnerware"",""Game console"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Wide hallways"",""Wide entrance for guests"",""Well-lit path to entrance"",""Extra space around bed"",""No stairs or steps to enter"",""No stairs or steps to enter"",""Wide entryway"",Other}",419,$20.00 ,5,1,81
252381,Elwood VILLAGE VIBE 1BR+BEACHSIDE+PARKING+WIFI,"LOCATION! LOCATION! LOCATION! ABSOLUTE HEART OF ELWOOD VILLAGE! Fantastic location with local village vibe and famous Elwood beach at your doorstep! Enjoy restaurants, cafes, shopping, grocery stores, bakeries beach, public transport, etc., all just steps away.",https://www.airbnb.com/rooms/252381,https://a0.muscache.com/im/pictures/981f70e6-32c1-4936-be79-ff930fcc0130.jpg?aki_policy=large,50121,Port Phillip,"Elwood, Victoria, Australia",3184,-37.88603,144.98823,Entire home/apt,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}",130,$0.00 ,2,17,155
256186,Collingwood 2 bedrm Warehouse Apt,"Spacious 2 bedroom warehouse apartment with high ceilings in the heart of Collingwood, 1 minute walk to Smith street, trams, supermarket, cafes, restaurants and bars etc. 10 minutes into Melbourne City by tram. Parking available right out front with a parking permit provided.",https://www.airbnb.com/rooms/256186,https://a0.muscache.com/im/pictures/7524302/5ee6ea54_original.jpg?aki_policy=large,1344893,Yarra,"Collingwood, Victoria, Australia",3066,-37.80176,144.98473,Entire home/apt,"{TV,Internet,Wifi,Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""High chair"",Crib,""Hot water"",""Long term stays allowed""}",120,$25.00 ,7,1,265
257149,Sunny 2BR Melbourne flat 7kms CBD,"Bright, sunny second floor flat in Northcote/Thornbury (a very cool neighbourhood just 7kms from city) with two bedrooms, separate kitchen and light spacious lounge. Just steps away from tram and train to get to CBD in 20 mins. Sleeps up to 5 people.",https://www.airbnb.com/rooms/257149,https://a0.muscache.com/im/pictures/21502548/c99e30ca_original.jpg?aki_policy=large,504534,Darebin,"Thornbury, Victoria, Australia",3071,-37.76294,144.9964,Entire home/apt,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",130,$18.00 ,2,1,321
257915,Central Apartments in Melbourne ,No summary,https://www.airbnb.com/rooms/257915,https://a0.muscache.com/im/pictures/2524712/42961012_original.jpg?aki_policy=large,569413,Melbourne,"Southbank, Victoria, Australia",3006,-37.82525,144.96145,Entire home/apt,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo}",701,$40.00 ,2,16,342
261558,Victorian terrace in Nth Melbourne close to CBD!,"Victorian terrace near Melbourne CBD, mins walk to Errol St, Queen Vic Market and all Melbourne has to offer; cafes, restaurants, shops, flagstaff gardens, public transport, the list goes on...  A clean & cosy bedroom with ornate fireplace, drawers & BIRs. House features polished floorboards, high ceilings, leading to an open plan living /dining kitchen area, facing rear courtyard. Bathroom with basin, bath, stand up shower and toilet. European style laundry with washing machine.",https://www.airbnb.com/rooms/261558,https://a0.muscache.com/im/pictures/de01a863-1687-4cd0-9d4b-82c481f06d8f.jpg?aki_policy=large,1372143,Melbourne,"North Melbourne, Victoria, Australia",3051,-37.80417,144.95327,Private room,"{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",""Pets live on this property"",Cat(s),""Free street parking"",Heating,Washer,Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Garden or backyard"",""Long term stays allowed""}",89,$55.00 ,2,1,56
263871,In The Heart Of The City- Melbourne,Fully Furnished and includes all utilities and wifi internet.,https://www.airbnb.com/rooms/263871,https://a0.muscache.com/im/pictures/f5ca721f-e096-4863-86f9-96f01a08b54e.jpg?aki_policy=large,1384456,Melbourne,"Melbourne, Victoria, Australia",3000,-37.81695,144.96295,Entire home/apt,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox}",125,$50.00 ,14,1,321
268525,Home 20mins (CBD) near Box Hill,"Thank you for visiting, I will make you feel like home, and advise what you find interesting, Mt Dandenong, Yarra Valley, Parks, cafes.   Access to the CBD in 20 mins, Mt Dandenlong  in 40mins(for great cafes and hikes), 1.3 hr to Mornington Penis.",https://www.airbnb.com/rooms/268525,https://a0.muscache.com/im/pictures/15093402/d71ea36c_original.jpg?aki_policy=large,1179603,Whitehorse,"Blackburn, Victoria, Australia",3130,-37.8129,145.14081,Private room,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Heating,Washer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49""}",40,$20.00 ,50,1,0
268620,nice room ,No summary,https://www.airbnb.com/rooms/268620,https://a0.muscache.com/im/pictures/2683571/11df43a4_original.jpg?aki_policy=large,1407948,Melton,"Caroline Springs, Victoria, Australia",3023,-37.73994,144.73881,Private room,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",""Other pet(s)"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Hot water""}",72,$0.00 ,1,1,365
